familly;filename;time;date;Syscall found;Address found;Libraries;OS;CPU architecture;Entry point;Min/Max addresses;Stack executable;Binary position-independent;Total number of blocks;Total number of instr;Number of blocks visited;Number of instr visited;Number Address found;Number Syscall found;Binary position-independent:
nitol;a00230094724589962a5622853e9e015;20.32790994644165;2023-01-04 09:57:27;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 2, ""LoadLibraryA"": 9, ""GetProcAddress"": 9, ""GetModuleFileNameA"": 1, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'ws2_32.dll', 'iphlpapi.dll', 'user32.dll', 'mfc42.dll', 'shlwapi.dll', 'msvcrt.dll', 'shell32.dll', 'kernel32.dll', 'advapi32.dll'};windows;X86;4208982;4194304/4252415;False;;0;0;0;0;0.0;12.0;False
nitol;a00542556b3abc26b1c423a0055497f5;18.09255623817444;2023-01-04 09:57:45;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'ws2_32.dll', 'iphlpapi.dll', 'user32.dll', 'mfc42.dll', 'shlwapi.dll', 'msvcrt.dll', 'shell32.dll', 'kernel32.dll', 'advapi32.dll'};windows;X86;4208966;4194304/4239127;False;;0;0;0;0;0.0;11.0;False
nitol;00b2f45c7befbced2efaeb92a725bb3d;19.158535480499268;2023-01-04 09:58:04;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'ws2_32.dll', 'iphlpapi.dll', 'user32.dll', 'mfc42.dll', 'shlwapi.dll', 'msvcrt.dll', 'shell32.dll', 'kernel32.dll', 'advapi32.dll'};windows;X86;4208966;4194304/4239127;False;;0;0;0;0;0.0;11.0;False
nitol;a012461c2831483503a528a46c42076b;18.38653540611267;2023-01-04 09:58:22;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'ws2_32.dll', 'iphlpapi.dll', 'user32.dll', 'mfc42.dll', 'shlwapi.dll', 'msvcrt.dll', 'shell32.dll', 'kernel32.dll', 'advapi32.dll'};windows;X86;4208966;4194304/4239127;False;;0;0;0;0;0.0;11.0;False
nitol;00f3dd23a58afe46b6a2c37339e30631;19.16871476173401;2023-01-04 09:58:41;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'ws2_32.dll', 'iphlpapi.dll', 'user32.dll', 'mfc42.dll', 'shlwapi.dll', 'msvcrt.dll', 'shell32.dll', 'kernel32.dll', 'advapi32.dll'};windows;X86;4208966;4194304/4239127;False;;0;0;0;0;0.0;11.0;False
nitol;a0070911ecd181feb3dc20ce0f54e9a0;20.050646543502808;2023-01-04 09:59:01;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'ws2_32.dll', 'iphlpapi.dll', 'user32.dll', 'mfc42.dll', 'shlwapi.dll', 'msvcrt.dll', 'shell32.dll', 'kernel32.dll', 'advapi32.dll'};windows;X86;4208966;4194304/4239127;False;;0;0;0;0;0.0;11.0;False
