filename,time,date,Syscall found,Address found,Libraries,OS,CPU architecture,Entry point,Min/Max addresses,Stack executable,Binary position-independent,Number Address found,Number Syscall found,Binary position-independent:
00c635478393aafb5c2d97b4a00c6930,196.2906792163849,2023-01-02 17:07:45,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'GetModuleHandleW': 1, 'GetProcAddress': 34, 'InitializeCriticalSectionAndSpinCount': 26, 'FlsAlloc': 1, 'HeapAlloc': 133, 'FlsSetValue': 1, 'EnterCriticalSection': 29, 'InterlockedIncrement': 3, 'LeaveCriticalSection': 37, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 7, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 11, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'HeapSize': 21, 'HeapReAlloc': 11, 'GetVersionExW': 5, 'LoadLibraryA': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5, 'FreeLibrary': 5}",,"{'winmm.dll', 'iphlpapi.dll', 'oleaut32.dll', 'wsock32.dll', 'gdi32.dll', 'kernel32.dll', 'user32.dll', 'comdlg32.dll', 'userenv.dll', 'advapi32.dll', 'wininet.dll', 'shell32.dll', 'psapi.dll', 'uxtheme.dll', 'mpr.dll', 'version.dll', 'comctl32.dll', 'ole32.dll'}",windows,X86,4349812,4194304/5383283,False,,0.0,33.0,True
00b555420ea9cbe6aec65e02f23d5316,357.9012701511383,2023-01-02 17:10:27,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 131, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 83, 'FlsSetValue': 1, 'EnterCriticalSection': 34, 'LeaveCriticalSection': 42, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 12, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 49, 'HeapSize': 24, 'HeapReAlloc': 14, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5}",,"{'winmm.dll', 'iphlpapi.dll', 'oleaut32.dll', 'wsock32.dll', 'gdi32.dll', 'kernel32.dll', 'user32.dll', 'comdlg32.dll', 'userenv.dll', 'advapi32.dll', 'wininet.dll', 'shell32.dll', 'psapi.dll', 'uxtheme.dll', 'mpr.dll', 'version.dll', 'comctl32.dll', 'ole32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,33.0,True
00a5631d47b793107aa88c7bbf2a834c,519.3559718132019,2023-01-02 17:13:09,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 131, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 83, 'FlsSetValue': 1, 'EnterCriticalSection': 34, 'LeaveCriticalSection': 42, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 12, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 49, 'HeapSize': 24, 'HeapReAlloc': 14, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5}",,"{'winmm.dll', 'iphlpapi.dll', 'oleaut32.dll', 'wsock32.dll', 'gdi32.dll', 'kernel32.dll', 'user32.dll', 'comdlg32.dll', 'userenv.dll', 'advapi32.dll', 'wininet.dll', 'shell32.dll', 'psapi.dll', 'uxtheme.dll', 'mpr.dll', 'version.dll', 'comctl32.dll', 'ole32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,33.0,True
00a488dcf01ac8bfb5c335c05e78d7fb,680.9812021255493,2023-01-02 17:15:50,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 121, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 78, 'FlsSetValue': 1, 'EnterCriticalSection': 29, 'LeaveCriticalSection': 37, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 12, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 39, 'HeapSize': 19, 'HeapReAlloc': 14, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5}",,"{'winmm.dll', 'iphlpapi.dll', 'oleaut32.dll', 'wsock32.dll', 'gdi32.dll', 'kernel32.dll', 'user32.dll', 'comdlg32.dll', 'userenv.dll', 'advapi32.dll', 'wininet.dll', 'shell32.dll', 'psapi.dll', 'uxtheme.dll', 'mpr.dll', 'version.dll', 'comctl32.dll', 'ole32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,33.0,True
00c980eb82edcd483fbff4b34b48f9e4,841.3687012195587,2023-01-02 17:18:31,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 121, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 81, 'FlsSetValue': 1, 'EnterCriticalSection': 31, 'LeaveCriticalSection': 37, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 12, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 39, 'HeapSize': 19, 'HeapReAlloc': 14, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5}",,"{'winmm.dll', 'iphlpapi.dll', 'oleaut32.dll', 'wsock32.dll', 'gdi32.dll', 'kernel32.dll', 'user32.dll', 'comdlg32.dll', 'userenv.dll', 'advapi32.dll', 'wininet.dll', 'shell32.dll', 'psapi.dll', 'uxtheme.dll', 'mpr.dll', 'version.dll', 'comctl32.dll', 'ole32.dll'}",windows,X86,4358154,4194304/5394739,False,,0.0,33.0,True
