familly;filename;time;date;Syscall found;Address found;Libraries;OS;CPU architecture;Entry point;Min/Max addresses;Stack executable;Binary position-independent;Total number of blocks;Total number of instr;Number of blocks visited;Number of instr visited;Number Address found;Number Syscall found;Binary position-independent:
nitol;a00230094724589962a5622853e9e015;21.01671385765076;2023-01-04 10:00:18;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 2, ""LoadLibraryA"": 9, ""GetProcAddress"": 9, ""GetModuleFileNameA"": 1, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'mfc42.dll', 'shell32.dll', 'shlwapi.dll', 'msvcrt.dll', 'advapi32.dll', 'kernel32.dll', 'user32.dll', 'ws2_32.dll', 'iphlpapi.dll'};windows;X86;4208982;4194304/4252415;False;;1285;6321;67;266;0.0;12.0;False
nitol;a00542556b3abc26b1c423a0055497f5;18.881208658218384;2023-01-04 10:00:37;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'mfc42.dll', 'shell32.dll', 'shlwapi.dll', 'msvcrt.dll', 'advapi32.dll', 'kernel32.dll', 'user32.dll', 'ws2_32.dll', 'iphlpapi.dll'};windows;X86;4208966;4194304/4239127;False;;1305;6406;52;234;0.0;11.0;False
nitol;00b2f45c7befbced2efaeb92a725bb3d;20.432912349700928;2023-01-04 10:00:57;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'mfc42.dll', 'shell32.dll', 'shlwapi.dll', 'msvcrt.dll', 'advapi32.dll', 'kernel32.dll', 'user32.dll', 'ws2_32.dll', 'iphlpapi.dll'};windows;X86;4208966;4194304/4239127;False;;1305;6406;52;234;0.0;11.0;False
