filename,time,date,Syscall found,Address found,Libraries,OS,CPU architecture,Entry point,Min/Max addresses,Stack executable,Binary position-independent,Number Address found,Number Syscall found,Binary position-independent:
00c635478393aafb5c2d97b4a00c6930,176.4381866455078,2023-01-02 17:58:50,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'GetModuleHandleW': 1, 'GetProcAddress': 34, 'InitializeCriticalSectionAndSpinCount': 26, 'FlsAlloc': 1, 'HeapAlloc': 143, 'FlsSetValue': 1, 'EnterCriticalSection': 29, 'InterlockedIncrement': 3, 'LeaveCriticalSection': 37, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 7, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 11, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'HeapSize': 21, 'HeapReAlloc': 11, 'GetVersionExW': 5, 'LoadLibraryA': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5, 'FreeLibrary': 5}",,"{'uxtheme.dll', 'version.dll', 'mpr.dll', 'kernel32.dll', 'winmm.dll', 'iphlpapi.dll', 'wininet.dll', 'userenv.dll', 'comdlg32.dll', 'advapi32.dll', 'oleaut32.dll', 'wsock32.dll', 'psapi.dll', 'ole32.dll', 'comctl32.dll', 'user32.dll', 'gdi32.dll', 'shell32.dll'}",windows,X86,4349812,4194304/5383283,False,,0.0,33.0,True
00b555420ea9cbe6aec65e02f23d5316,338.13624238967896,2023-01-02 18:01:31,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 131, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 93, 'FlsSetValue': 1, 'EnterCriticalSection': 34, 'LeaveCriticalSection': 42, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 12, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 49, 'HeapSize': 24, 'HeapReAlloc': 14, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5}",,"{'uxtheme.dll', 'version.dll', 'mpr.dll', 'kernel32.dll', 'winmm.dll', 'iphlpapi.dll', 'wininet.dll', 'userenv.dll', 'comdlg32.dll', 'advapi32.dll', 'oleaut32.dll', 'wsock32.dll', 'psapi.dll', 'ole32.dll', 'comctl32.dll', 'user32.dll', 'gdi32.dll', 'shell32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,33.0,True
00a5631d47b793107aa88c7bbf2a834c,498.7464826107025,2023-01-02 18:04:12,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 131, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 93, 'FlsSetValue': 1, 'EnterCriticalSection': 34, 'LeaveCriticalSection': 42, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 12, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 49, 'HeapSize': 24, 'HeapReAlloc': 14, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5}",,"{'uxtheme.dll', 'version.dll', 'mpr.dll', 'kernel32.dll', 'winmm.dll', 'iphlpapi.dll', 'wininet.dll', 'userenv.dll', 'comdlg32.dll', 'advapi32.dll', 'oleaut32.dll', 'wsock32.dll', 'psapi.dll', 'ole32.dll', 'comctl32.dll', 'user32.dll', 'gdi32.dll', 'shell32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,33.0,True
00a488dcf01ac8bfb5c335c05e78d7fb,660.4193046092987,2023-01-02 18:06:54,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 131, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 98, 'FlsSetValue': 1, 'EnterCriticalSection': 34, 'LeaveCriticalSection': 42, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 12, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 49, 'HeapSize': 24, 'HeapReAlloc': 14, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5}",,"{'uxtheme.dll', 'version.dll', 'mpr.dll', 'kernel32.dll', 'winmm.dll', 'iphlpapi.dll', 'wininet.dll', 'userenv.dll', 'comdlg32.dll', 'advapi32.dll', 'oleaut32.dll', 'wsock32.dll', 'psapi.dll', 'ole32.dll', 'comctl32.dll', 'user32.dll', 'gdi32.dll', 'shell32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,33.0,True
00c980eb82edcd483fbff4b34b48f9e4,822.2189536094666,2023-01-02 18:09:35,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 131, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 88, 'FlsSetValue': 1, 'EnterCriticalSection': 34, 'LeaveCriticalSection': 42, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 12, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 49, 'HeapSize': 24, 'HeapReAlloc': 14, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5}",,"{'uxtheme.dll', 'version.dll', 'mpr.dll', 'kernel32.dll', 'winmm.dll', 'iphlpapi.dll', 'wininet.dll', 'userenv.dll', 'comdlg32.dll', 'advapi32.dll', 'oleaut32.dll', 'wsock32.dll', 'psapi.dll', 'ole32.dll', 'comctl32.dll', 'user32.dll', 'gdi32.dll', 'shell32.dll'}",windows,X86,4358154,4194304/5394739,False,,0.0,33.0,True
