filename,time,date,Syscall found,Address found,Libraries,OS,CPU architecture,Entry point,Min/Max addresses,Stack executable,Binary position-independent,Number Address found,Number Syscall found,Binary position-independent:
00c635478393aafb5c2d97b4a00c6930,163.40143704414368,2023-01-03 09:19:30,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'GetModuleHandleW': 1, 'GetProcAddress': 34, 'InitializeCriticalSectionAndSpinCount': 26, 'FlsAlloc': 1, 'HeapAlloc': 45, 'FlsSetValue': 1, 'EnterCriticalSection': 18, 'InterlockedIncrement': 3, 'LeaveCriticalSection': 22, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 7, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 11, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'HeapSize': 10, 'HeapReAlloc': 10, 'GetVersionExW': 5, 'LoadLibraryA': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5, 'FreeLibrary': 5}",,"{'oleaut32.dll', 'iphlpapi.dll', 'shell32.dll', 'wininet.dll', 'psapi.dll', 'uxtheme.dll', 'user32.dll', 'comdlg32.dll', 'mpr.dll', 'comctl32.dll', 'winmm.dll', 'advapi32.dll', 'ole32.dll', 'userenv.dll', 'gdi32.dll', 'wsock32.dll', 'kernel32.dll', 'version.dll'}",windows,X86,4349812,4194304/5383283,False,,0.0,33.0,True
00b555420ea9cbe6aec65e02f23d5316,329.2223479747772,2023-01-03 09:22:16,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 97, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 46, 'FlsSetValue': 1, 'EnterCriticalSection': 21, 'LeaveCriticalSection': 27, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 11, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 23, 'HeapSize': 11, 'HeapReAlloc': 12, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 3}",,"{'oleaut32.dll', 'iphlpapi.dll', 'shell32.dll', 'wininet.dll', 'psapi.dll', 'uxtheme.dll', 'user32.dll', 'comdlg32.dll', 'mpr.dll', 'comctl32.dll', 'winmm.dll', 'advapi32.dll', 'ole32.dll', 'userenv.dll', 'gdi32.dll', 'wsock32.dll', 'kernel32.dll', 'version.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,33.0,True
00a5631d47b793107aa88c7bbf2a834c,496.3379349708557,2023-01-03 09:25:03,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 97, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 46, 'FlsSetValue': 1, 'EnterCriticalSection': 20, 'LeaveCriticalSection': 27, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 11, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 21, 'HeapSize': 10, 'HeapReAlloc': 12, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 3, 'IsWow64Process': 3, 'GetSystemInfo': 1}",,"{'oleaut32.dll', 'iphlpapi.dll', 'shell32.dll', 'wininet.dll', 'psapi.dll', 'uxtheme.dll', 'user32.dll', 'comdlg32.dll', 'mpr.dll', 'comctl32.dll', 'winmm.dll', 'advapi32.dll', 'ole32.dll', 'userenv.dll', 'gdi32.dll', 'wsock32.dll', 'kernel32.dll', 'version.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,33.0,True
00a488dcf01ac8bfb5c335c05e78d7fb,663.6268112659454,2023-01-03 09:27:51,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 80, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 31, 'FlsSetValue': 1, 'EnterCriticalSection': 15, 'LeaveCriticalSection': 19, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 10, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 13, 'HeapSize': 6, 'HeapReAlloc': 9, 'InitializeCriticalSectionAndSpinCount': 4}",,"{'oleaut32.dll', 'iphlpapi.dll', 'shell32.dll', 'wininet.dll', 'psapi.dll', 'uxtheme.dll', 'user32.dll', 'comdlg32.dll', 'mpr.dll', 'comctl32.dll', 'winmm.dll', 'advapi32.dll', 'ole32.dll', 'userenv.dll', 'gdi32.dll', 'wsock32.dll', 'kernel32.dll', 'version.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,29.0,True
