Name,method,time,z3,calls,nodes,edges,density,conn comp,str con comp
0137f3a31caf33cc36e5aecfbf227c65_shiz_600,BFS,600,30,41,79,94,0.018073667353008464,49,79
0137f3a31caf33cc36e5aecfbf227c65_shiz_1800,BFS,1800,30,41,79,94,0.018073667353008464,49,79
0137f3a31caf33cc36e5aecfbf227c65_shiz_600,BFS,600,60,41,79,94,0.018073667353008464,49,79
0137f3a31caf33cc36e5aecfbf227c65_shiz_1800,BFS,1800,60,41,79,94,0.018073667353008464,49,79
0137f3a31caf33cc36e5aecfbf227c65_shiz_3600,BFS,3600,60,41,79,94,0.018073667353008464,49,79
a0400862d47f8625d8b6a18325c8fd81_shiz_600,BFS,600,30,41,79,94,0.018073667353008464,49,79
a0400862d47f8625d8b6a18325c8fd81_shiz_1800,BFS,1800,30,43,81,95,0.018141097424412094,50,81
a0400862d47f8625d8b6a18325c8fd81_shiz_3600,BFS,3600,30,42,82,95,0.018365061590145577,51,82
a0400862d47f8625d8b6a18325c8fd81_shiz_600,BFS,600,60,41,79,94,0.018073667353008464,49,79
a0400862d47f8625d8b6a18325c8fd81_shiz_1800,BFS,1800,60,41,79,94,0.018073667353008464,49,79
a0400862d47f8625d8b6a18325c8fd81_shiz_3600,BFS,3600,60,40,78,91,0.01904761904761905,49,78
a06565893b9adbbdd964b9144ad1f12a_simbot_600,BFS,600,30,23,31,27,0.08831908831908832,21,31
a06565893b9adbbdd964b9144ad1f12a_simbot_1800,BFS,1800,30,35,58,78,0.019314019314019316,32,58
a06565893b9adbbdd964b9144ad1f12a_simbot_3600,BFS,3600,30,35,58,92,0.01385570950788342,32,58
a06565893b9adbbdd964b9144ad1f12a_simbot_600,BFS,600,60,27,40,55,0.026936026936026935,23,40
a06565893b9adbbdd964b9144ad1f12a_simbot_1800,BFS,1800,60,35,58,91,0.014163614163614164,32,58
a06565893b9adbbdd964b9144ad1f12a_simbot_3600,BFS,3600,60,35,58,79,0.018825056799740343,32,58
a0044033266c6435dce592aae3a86b3c_simbot_600,BFS,600,30,34,53,72,0.020735524256651018,29,53
a0044033266c6435dce592aae3a86b3c_simbot_1800,BFS,1800,30,35,58,75,0.020900900900900903,34,58
a0044033266c6435dce592aae3a86b3c_simbot_3600,BFS,3600,30,35,58,67,0.026232473993668022,35,58
a0044033266c6435dce592aae3a86b3c_simbot_600,BFS,600,60,27,38,53,0.027576197387518143,22,38
a0044033266c6435dce592aae3a86b3c_simbot_1800,BFS,1800,60,35,58,96,0.012719298245614035,32,58
a0044033266c6435dce592aae3a86b3c_simbot_3600,BFS,3600,60,35,58,101,0.011485148514851485,32,58
a0317ec463f769782c287d0a368b35bd_stormattack_600,BFS,600,30,39,53,48,0.04698581560283688,34,53
a0317ec463f769782c287d0a368b35bd_stormattack_600,BFS,600,60,39,53,48,0.04698581560283688,34,53
a06fa7f920ecee0005c662fb7f9be423_stormattack_600,BFS,600,30,39,53,48,0.04698581560283688,34,53
a06fa7f920ecee0005c662fb7f9be423_stormattack_600,BFS,600,60,39,53,48,0.04698581560283688,34,53
