model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,time
fginjk,0.8646408839779005,0.904147187986967,0.8646408839779005,0.8552582703074073,0.8725146198830409,0.23434720678224089,32,2,0.001,8,True,0.008,3,169.2910692691803
fginjk,0.8701657458563536,0.9110815744018816,0.8701657458563536,0.8597664782217653,0.8788638262322473,0.23828409159381087,32,2,0.001,8,True,0.005,3,167.50661540031433
fginjk,0.8370165745856354,0.848906774031529,0.8370165745856354,0.8093298549004115,0.8461152882205514,0.30494083587635945,32,2,0.001,8,True,0.001,3,179.86362528800964
fginjk,0.8646408839779005,0.8990871007445593,0.8646408839779005,0.8550065266225487,0.8725146198830409,0.2345511218460884,32,2,0.001,8,True,0.008,5,270.85674142837524
fginjk,0.8756906077348067,0.8255142584777673,0.8756906077348067,0.8411710791688987,0.8260651629072682,0.2948613690407895,32,2,0.001,8,True,0.005,5,279.4497525691986
fginjk,0.8342541436464088,0.8488057480657419,0.8342541436464088,0.8039556818787966,0.8436090225563909,0.316265510920003,32,2,0.001,8,True,0.001,5,261.6706030368805
fginjk,0.856353591160221,0.8909351876069039,0.856353591160221,0.8459230825817969,0.8629908103592314,0.2854752543881453,32,2,0.001,8,True,0.008,7,348.5928497314453
fginjk,0.856353591160221,0.886325056959215,0.856353591160221,0.8470803606893955,0.8629908103592314,0.24823892577577034,32,2,0.001,8,True,0.005,7,348.01642179489136
fginjk,0.861878453038674,0.9029559162240268,0.861878453038674,0.8509189834540205,0.8693400167084377,0.23073445565134124,32,2,0.001,8,True,0.001,7,350.8879270553589
fginjk,0.8839779005524862,0.8328499079189687,0.8839779005524862,0.8502716003528482,0.8355889724310777,0.22758644078317927,32,2,0.001,8,False,-1,-1,74.42986917495728
fginjk,0.861878453038674,0.8066534317440444,0.861878453038674,0.8287127522379399,0.8142021720969089,0.2788760448029028,32,3,0.001,8,True,0.008,3,216.94468641281128
fginjk,0.8756906077348067,0.8239993150214145,0.8756906077348067,0.8406167378135951,0.8260651629072682,0.28370563101373325,32,3,0.001,8,True,0.005,3,216.2841649055481
fginjk,0.8535911602209945,0.8860756364766345,0.8535911602209945,0.8390707697626332,0.8611528822055137,0.24902776097724452,32,3,0.001,8,True,0.001,3,214.57401180267334
fginjk,0.8591160220994475,0.896652033102755,0.8591160220994475,0.848431429315989,0.8661654135338346,0.23143033592740475,32,3,0.001,8,True,0.008,5,335.12042689323425
fginjk,0.8812154696132597,0.8326452552971888,0.8812154696132597,0.847793874277567,0.8324143692564745,0.2354488590145638,32,3,0.001,8,True,0.005,5,334.6771674156189
fginjk,0.8784530386740331,0.8290921636579447,0.8784530386740331,0.8449244165482208,0.8292397660818713,0.23539544024520156,32,3,0.001,8,True,0.001,5,334.02581214904785
fginjk,0.8591160220994475,0.896652033102755,0.8591160220994475,0.848431429315989,0.8661654135338346,0.2901844023340973,32,3,0.001,8,True,0.008,7,453.6918361186981
fginjk,0.8729281767955801,0.823905989651846,0.8729281767955801,0.8388948973907709,0.822890559732665,0.2568633292920023,32,3,0.001,8,True,0.005,7,455.13793444633484
fginjk,0.8591160220994475,0.896652033102755,0.8591160220994475,0.848431429315989,0.8661654135338346,0.2833716457719961,32,3,0.001,8,True,0.001,7,454.0361707210541
fginjk,0.8729281767955801,0.8254209331081988,0.8729281767955801,0.8394492387460745,0.822890559732665,0.25455228778538785,32,3,0.001,8,False,-1,-1,93.14378476142883
fginjk,0.8812154696132597,0.9445002511300853,0.8812154696132597,0.8691298342541437,0.89156223893066,0.21827211070455899,32,4,0.001,8,True,0.008,3,262.8197293281555
fginjk,0.861878453038674,0.9010723170726078,0.861878453038674,0.8501605739510352,0.8693400167084377,0.27824253403679444,32,4,0.001,8,True,0.005,3,261.61973118782043
fginjk,0.856353591160221,0.8883654724950804,0.856353591160221,0.8464810087729522,0.8629908103592314,0.2609224981365941,32,4,0.001,8,True,0.001,3,263.0317142009735
fginjk,0.8756906077348067,0.8290037501499326,0.8756906077348067,0.8432440662560672,0.8260651629072682,0.21552946702551445,32,4,0.001,8,True,0.008,5,411.9392695426941
fginjk,0.861878453038674,0.9074001343556446,0.861878453038674,0.8504449052436537,0.8693400167084377,0.2705136672567926,32,4,0.001,8,True,0.005,5,414.18510365486145
fginjk,0.8756906077348067,0.8264611742378629,0.8756906077348067,0.84191954530573,0.8260651629072682,0.26254181028729645,32,4,0.001,8,True,0.001,5,416.9038014411926
fginjk,0.861878453038674,0.8251073221290357,0.861878453038674,0.8291427902835486,0.8095238095238095,0.3095041757130491,32,4,0.001,8,True,0.008,7,574.406375169754
fginjk,0.8591160220994475,0.8917119925845165,0.8591160220994475,0.8450459766329762,0.86750208855472,0.24611432792732071,32,4,0.001,8,True,0.005,7,577.8145897388458
fginjk,0.8674033149171271,0.8194434369051488,0.8674033149171271,0.8325515455782169,0.8165413533834586,0.2481947934759256,32,4,0.001,8,True,0.001,7,574.1406903266907
fginjk,0.856353591160221,0.8979273920140632,0.856353591160221,0.8449323616164338,0.8629908103592314,0.26242265763862355,32,4,0.001,8,False,-1,-1,110.02531576156616
fginjk,0.8646408839779005,0.8178503904542819,0.8646408839779005,0.8334201192895974,0.8147034252297409,0.30005659484072944,32,5,0.001,8,True,0.008,3,315.7383337020874
fginjk,0.861878453038674,0.903516240235627,0.861878453038674,0.8467896798781416,0.8706766917293233,0.286294588397221,32,5,0.001,8,True,0.005,3,315.31111097335815
fginjk,0.861878453038674,0.903516240235627,0.861878453038674,0.8467896798781416,0.8706766917293233,0.2795014932998636,32,5,0.001,8,True,0.001,3,314.1890757083893
fginjk,0.8591160220994475,0.896652033102755,0.8591160220994475,0.848431429315989,0.8661654135338346,0.22901056682207308,32,5,0.001,8,True,0.008,5,501.01678824424744
fginjk,0.8646408839779005,0.9055823716180568,0.8646408839779005,0.853883846356222,0.8725146198830409,0.22186626123459957,32,5,0.001,8,True,0.005,5,498.2302553653717
fginjk,0.850828729281768,0.8956185797212353,0.850828729281768,0.8291914680508778,0.8599832915622388,0.29104277985530663,32,5,0.001,8,True,0.001,5,497.9749071598053
fginjk,0.8839779005524862,0.8296760826947069,0.8839779005524862,0.8491472589218327,0.8355889724310777,0.23869353969123483,32,5,0.001,8,True,0.008,7,675.4966554641724
fginjk,0.8729281767955801,0.936416639856312,0.8729281767955801,0.8607071358731848,0.8820384294068505,0.21050750698832518,32,5,0.001,8,True,0.005,7,672.1201980113983
fginjk,0.8535911602209945,0.8826329453537134,0.8535911602209945,0.8396770586687713,0.8611528822055137,0.2609125392213052,32,5,0.001,8,True,0.001,7,680.7432689666748
fginjk,0.8729281767955801,0.8270912416531991,0.8729281767955801,0.839011965831058,0.8222222222222222,0.2700863646868184,32,5,0.001,8,False,-1,-1,125.16122198104858
fginjk,0.8839779005524862,0.8336525317537163,0.8839779005524862,0.8501344284574703,0.8355889724310777,0.18873881865601513,64,2,0.001,8,True,0.008,3,168.24561953544617
fginjk,0.8591160220994475,0.8986311761309498,0.8591160220994475,0.8492211876398167,0.8661654135338346,0.23677630549636336,64,2,0.001,8,True,0.005,3,166.40558743476868
fginjk,0.8591160220994475,0.8055216293725758,0.8591160220994475,0.8240787646875916,0.8090225563909774,0.3223338581580483,64,2,0.001,8,True,0.001,3,167.86108088493347
fginjk,0.8729281767955801,0.8254209331081988,0.8729281767955801,0.8394492387460745,0.822890559732665,0.27794348024531623,64,2,0.001,8,True,0.008,5,256.40984177589417
fginjk,0.8756906077348067,0.8280568343898369,0.8756906077348067,0.8424956001192357,0.8260651629072682,0.24796241406577726,64,2,0.001,8,True,0.005,5,254.59163546562195
fginjk,0.8701657458563536,0.8219328246952556,0.8701657458563536,0.8356427363112854,0.8197159565580618,0.2774029092564767,64,2,0.001,8,True,0.001,5,256.2879569530487
fginjk,0.8674033149171271,0.9167992516959228,0.8674033149171271,0.8579705682796528,0.8756892230576442,0.21812271116846832,64,2,0.001,8,True,0.008,7,346.7606956958771
fginjk,0.8453038674033149,0.8820066034020767,0.8453038674033149,0.8238960566439324,0.8536340852130325,0.3114316055129246,64,2,0.001,8,True,0.005,7,348.33677911758423
fginjk,0.8756906077348067,0.8230725175710291,0.8756906077348067,0.8422641123466194,0.8280701754385965,0.23170503726980304,64,2,0.001,8,True,0.001,7,346.2108702659607
fginjk,0.8535911602209945,0.8860756364766345,0.8535911602209945,0.8390707697626332,0.8611528822055137,0.2763942233106708,64,2,0.001,8,False,-1,-1,73.39278364181519
fginjk,0.8729281767955801,0.8263678488682944,0.8729281767955801,0.8401977048829058,0.822890559732665,0.25869875553563154,64,3,0.001,8,True,0.008,3,214.2534465789795
fginjk,0.8784530386740331,0.8300590144866741,0.8784530386740331,0.8456827309236947,0.8292397660818713,0.22567748298961154,64,3,0.001,8,True,0.005,3,214.0111346244812
fginjk,0.8480662983425414,0.874133157848401,0.8480662983425414,0.8247204682978163,0.8574770258980785,0.2602554330838978,64,3,0.001,8,True,0.001,3,215.0509910583496
fginjk,0.861878453038674,0.9049350592522216,0.861878453038674,0.8517087417778482,0.8693400167084377,0.2408290398384326,64,3,0.001,8,True,0.008,5,332.6532335281372
fginjk,0.861878453038674,0.9313916797132765,0.861878453038674,0.847616769752456,0.8706766917293233,0.26355333222868693,64,3,0.001,8,True,0.005,5,333.28559279441833
fginjk,0.8756906077348067,0.8239993150214145,0.8756906077348067,0.8406167378135951,0.8260651629072682,0.26574713913775283,64,3,0.001,8,True,0.001,5,333.09598660469055
fginjk,0.8784530386740331,0.828145247897849,0.8784530386740331,0.8441759504113893,0.8292397660818713,0.21402260348283125,64,3,0.001,8,True,0.008,7,447.2655739784241
fginjk,0.8756906077348067,0.8161910586381681,0.8756906077348067,0.8391993209149057,0.8274018379281537,0.2624138313762391,64,3,0.001,8,True,0.005,7,445.6286771297455
fginjk,0.8453038674033149,0.8693511828870945,0.8453038674033149,0.8147507987153181,0.8563074352548037,0.266016226776397,64,3,0.001,8,True,0.001,7,445.8878788948059
fginjk,0.8674033149171271,0.8233813704999507,0.8674033149171271,0.8344066400955312,0.8165413533834586,0.2590216943242932,64,3,0.001,8,False,-1,-1,89.74340033531189
fginjk,0.8839779005524862,0.8302225794764967,0.8839779005524862,0.8489248185462028,0.8355889724310777,0.2580810362133532,64,4,0.001,8,True,0.008,3,256.84726214408875
fginjk,0.8812154696132597,0.8281651223039644,0.8812154696132597,0.8470317598582048,0.8324143692564745,0.21304286324846153,64,4,0.001,8,True,0.005,3,256.80017948150635
fginjk,0.8784530386740331,0.9324581780292015,0.8784530386740331,0.8659781142386925,0.8883876357560568,0.1894128632973571,64,4,0.001,8,True,0.001,3,255.66486620903015
fginjk,0.8674033149171271,0.9258640593796983,0.8674033149171271,0.8561806110308111,0.8756892230576442,0.23830409817274104,64,4,0.001,8,True,0.008,5,405.0380778312683
fginjk,0.8784530386740331,0.8223541885985958,0.8784530386740331,0.8420597878951199,0.8292397660818713,0.22182918994466244,64,4,0.001,8,True,0.005,5,404.19441747665405
fginjk,0.8784530386740331,0.9324581780292015,0.8784530386740331,0.8659781142386925,0.8883876357560568,0.22793336525477098,64,4,0.001,8,True,0.001,5,800.5114450454712
fginjk,0.8729281767955801,0.8270359180716033,0.8729281767955801,0.8400349511871521,0.822890559732665,0.24068418672071637,64,4,0.001,8,True,0.001,7,1078.3792660236359
fginjk,0.8535911602209945,0.9071716100242656,0.8535911602209945,0.8397687840151755,0.8611528822055137,0.24860251114513335,64,4,0.001,8,False,-1,-1,220.98867893218994
fginjk,0.8922651933701657,0.8350628057566878,0.8922651933701657,0.8564053788265683,0.8451127819548871,0.19977773964734366,64,5,0.001,8,True,0.001,5,974.1578707695007
fginjk,0.8784530386740331,0.9396720098077241,0.8784530386740331,0.8655300685252887,0.8883876357560568,0.20568500895526529,64,5,0.001,8,True,0.001,7,1321.8425042629242
fginjk,0.8701657458563536,0.9265032906734909,0.8701657458563536,0.8582798694286471,0.8788638262322473,0.20467384027842,64,5,0.001,8,False,-1,-1,266.3225040435791
fginjk,0.8784530386740331,0.9396720098077241,0.8784530386740331,0.8655300685252887,0.8883876357560568,0.2748673079092858,128,4,0.001,8,True,0.001,5,1389.2339131832123
fginjk,0.8839779005524862,0.8258598816958924,0.8839779005524862,0.8473518818983746,0.8355889724310777,0.25883832285746683,128,4,0.001,8,True,0.001,7,1860.8990561962128
fginjk,0.8895027624309392,0.8308546544000195,0.8895027624309392,0.8530293391436063,0.841938178780284,0.25673072303526967,128,4,0.001,8,False,-1,-1,359.7172501087189
fginjk,0.8922651933701657,0.8334660616477841,0.8922651933701657,0.8558476511190739,0.8451127819548871,0.24905536970051612,128,5,0.001,8,True,0.001,5,1749.4238560199738
fginjk,0.8839779005524862,0.8306181093609768,0.8839779005524862,0.8489142765423874,0.8355889724310777,0.19559059016283045,128,5,0.001,8,True,0.001,7,2350.593474149704
fginjk,0.8729281767955801,0.936416639856312,0.8729281767955801,0.8607071358731848,0.8820384294068505,0.22299251157934494,128,5,0.001,8,False,-1,-1,460.47337460517883
fginjk,0.8756906077348067,0.8271292434411718,0.8756906077348067,0.8417567916099763,0.8260651629072682,0.2600414874803954,64,4,0.001,8,True,0.008,7,990.3424007892609
