model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
fginjk,0.962877030162413,0.9630381458344703,0.962877030162413,0.9628746319344635,0.9628983634797588,0.23411048950493474,128,4,0.001,64,fold_0,False,-1,-1,146.83370876312256,0.21587014198303223
fginjk,0.9721577726218097,0.9721577726218097,0.9721577726218097,0.9721577726218097,0.9721576227390181,0.14342449600332938,128,4,0.001,64,fold_1,False,-1,-1,129.69290447235107,0.2575857639312744
fginjk,0.9605568445475638,0.9608028112190797,0.9605568445475638,0.9605504733284842,0.9605297157622739,0.1996172106243549,128,4,0.001,64,fold_2,False,-1,-1,151.79783749580383,0.22456955909729004
fginjk,0.974477958236659,0.9745691105275499,0.974477958236659,0.9744763093928076,0.9744616709732989,0.1202731774190739,128,4,0.001,64,fold_3,False,-1,-1,146.32137084007263,0.23441314697265625
fginjk,0.9605568445475638,0.9608070067406341,0.9605568445475638,0.9605525975255226,0.960583548664944,0.21455156708054088,128,4,0.001,32,fold_0,False,-1,-1,140.63297581672668,0.22642254829406738
fginjk,0.9814385150812065,0.981605227823757,0.9814385150812065,0.9814373159672318,0.9814599483204134,0.14066010957158098,128,4,0.001,32,fold_1,False,-1,-1,128.08392667770386,0.29055309295654297
fginjk,0.9559164733178654,0.956401282997937,0.9559164733178654,0.9559065042338938,0.9559539190353143,0.1573805779460688,128,4,0.001,32,fold_2,False,-1,-1,179.43123364448547,0.2250821590423584
fginjk,0.9698375870069605,0.9699276898471341,0.9698375870069605,0.969835638373318,0.9698212747631352,0.14374986477628385,128,4,0.001,32,fold_3,False,-1,-1,126.38503098487854,0.214829683303833
fginjk,0.9605568445475638,0.9605671864601881,0.9605568445475638,0.9605568445475638,0.960562015503876,0.20897811665059243,128,4,0.001,16,fold_0,False,-1,-1,136.66434335708618,0.21063518524169922
fginjk,0.9837587006960556,0.9837692924133328,0.9837587006960556,0.9837587006960556,0.9837639965546943,0.10993202134000954,128,4,0.001,16,fold_1,False,-1,-1,150.4985966682434,0.2911081314086914
fginjk,0.9605568445475638,0.9608028112190797,0.9605568445475638,0.9605504733284842,0.9605297157622739,0.16284950652101407,128,4,0.001,16,fold_2,False,-1,-1,148.3730161190033,0.219437837600708
fginjk,0.9651972157772621,0.966006802874327,0.9651972157772621,0.965180344971977,0.9651485788113695,0.12541041932913655,128,4,0.001,16,fold_3,False,-1,-1,181.6940815448761,0.2136232852935791
fginjk,0.9767981438515081,0.9768387173691732,0.9767981438515081,0.9767973944052739,0.9767872523686477,0.09833764404127604,128,4,0.001,8,fold_0,False,-1,-1,464.60671639442444,0.22569036483764648
fginjk,0.962877030162413,0.9629161046584893,0.962877030162413,0.9628758310484383,0.9628660637381568,0.19735012671061017,128,4,0.001,8,fold_1,False,-1,-1,140.93084979057312,0.28525733947753906
fginjk,0.9791183294663574,0.9791288712227038,0.9791183294663574,0.9791183294663574,0.9791236003445305,0.06998072390330053,128,4,0.001,8,fold_2,False,-1,-1,447.61014103889465,0.2342395782470703
fginjk,0.9698375870069605,0.9703316468835961,0.9698375870069605,0.9698284910327252,0.9697997416020672,0.12640512384595284,128,4,0.001,8,fold_3,False,-1,-1,216.55838704109192,0.2202005386352539
fginjk,0.9721577726218097,0.9725258227510173,0.9721577726218097,0.9721532755570439,0.9721899224806202,0.17248580778955444,128,5,0.001,64,fold_0,False,-1,-1,174.425213098526,0.30436158180236816
fginjk,0.9721577726218097,0.9721978464656119,0.9721577726218097,0.9721568732863286,0.9721468561584841,0.14330735380097948,128,5,0.001,64,fold_1,False,-1,-1,123.89012169837952,0.3102710247039795
fginjk,0.9791183294663574,0.9791288712227038,0.9791183294663574,0.9791183294663574,0.9791236003445305,0.14180901207098967,128,5,0.001,64,fold_2,False,-1,-1,163.42826390266418,0.2809886932373047
fginjk,0.974477958236659,0.9744879008900323,0.974477958236659,0.9744776834471031,0.974472437553833,0.12572751050758804,128,5,0.001,64,fold_3,False,-1,-1,188.20765113830566,0.2660517692565918
fginjk,0.974477958236659,0.9749809701574265,0.974477958236659,0.9744721866617281,0.974515503875969,0.17269541698307006,128,5,0.001,32,fold_0,False,-1,-1,157.32335543632507,0.2640683650970459
fginjk,0.9791183294663574,0.9791288712227038,0.9791183294663574,0.9791183294663574,0.9791236003445305,0.10657907058668524,128,5,0.001,32,fold_1,False,-1,-1,204.22741556167603,0.3146803379058838
fginjk,0.951276102088167,0.9513651439705305,0.951276102088167,0.9512745282934382,0.9512919896640827,0.15387484633521525,128,5,0.001,32,fold_2,False,-1,-1,121.3971586227417,0.27129554748535156
fginjk,0.9721577726218097,0.9721577726218097,0.9721577726218097,0.9721577726218097,0.9721576227390181,0.09133970407280734,128,5,0.001,32,fold_3,False,-1,-1,179.30513310432434,0.2532634735107422
fginjk,0.9767981438515081,0.9768387173691732,0.9767981438515081,0.9767973944052739,0.9767872523686477,0.08485500538708715,128,5,0.001,16,fold_0,False,-1,-1,361.41366028785706,0.24509596824645996
fginjk,0.9721577726218097,0.9721978464656119,0.9721577726218097,0.9721568732863286,0.9721468561584841,0.11744094335662067,128,5,0.001,16,fold_1,False,-1,-1,215.38100600242615,0.31600260734558105
fginjk,0.9721577726218097,0.9721577726218097,0.9721577726218097,0.9721577726218097,0.9721576227390181,0.1437420312514023,128,5,0.001,16,fold_2,False,-1,-1,165.8581736087799,0.29631710052490234
fginjk,0.9721577726218097,0.9721978464656119,0.9721577726218097,0.9721568732863286,0.9721468561584841,0.11468206892727838,128,5,0.001,16,fold_3,False,-1,-1,254.11588978767395,0.25064754486083984
fginjk,0.9605568445475638,0.9605663375331968,0.9605568445475638,0.9605564198727957,0.9605512489233419,0.12375735443111362,128,5,0.001,8,fold_0,False,-1,-1,228.12735676765442,0.28947019577026367
fginjk,0.9791183294663574,0.9792118684134866,0.9791183294663574,0.9791176549829022,0.9791343669250646,0.15410296161272272,128,5,0.001,8,fold_1,False,-1,-1,292.9584119319916,0.33048176765441895
fginjk,0.9675174013921114,0.9675583711195798,0.9675174013921114,0.9675170516655974,0.9675279931093884,0.1433834124512089,128,5,0.001,8,fold_2,False,-1,-1,315.50891852378845,0.2986922264099121
fginjk,0.9651972157772621,0.9660132437924226,0.9651972157772621,0.9651837217495502,0.9652454780361757,0.09845879988576309,128,5,0.001,8,fold_3,False,-1,-1,262.81820011138916,0.2617473602294922
fginjk,0.9698375870069605,0.9700890529333275,0.9698375870069605,0.9698327148982525,0.9698105081826012,0.15490264449000635,128,6,0.001,64,fold_0,False,-1,-1,223.39754033088684,0.29091310501098633
fginjk,0.9651972157772621,0.9654459320762037,0.9651972157772621,0.9651915941133683,0.9651701119724376,0.1360375857641899,128,6,0.001,64,fold_1,False,-1,-1,110.64780712127686,0.41396117210388184
fginjk,0.9675174013921114,0.9675569755620507,0.9675174013921114,0.9675163521673836,0.9675064599483204,0.14448931609040555,128,6,0.001,64,fold_2,False,-1,-1,149.3487584590912,0.4065127372741699
fginjk,0.9698375870069605,0.9700890529333275,0.9698375870069605,0.9698327148982525,0.9698105081826012,0.12756492282218557,128,6,0.001,64,fold_3,False,-1,-1,191.07454180717468,0.3111279010772705
fginjk,0.9559164733178654,0.9559267652695591,0.9559164733178654,0.9559164733178654,0.9559216192937123,0.17140396070729275,128,6,0.001,32,fold_0,False,-1,-1,167.40760326385498,0.3041214942932129
fginjk,0.9651972157772621,0.9652862691667181,0.9651972157772621,0.9651949673538286,0.9651808785529716,0.14796458046695352,128,6,0.001,32,fold_1,False,-1,-1,183.121812582016,0.3440060615539551
fginjk,0.9698375870069605,0.9698480288414459,0.9698375870069605,0.9698375870069605,0.9698428079242032,0.1494252040102784,128,6,0.001,32,fold_2,False,-1,-1,185.6080231666565,0.3152310848236084
fginjk,0.9698375870069605,0.9700890529333275,0.9698375870069605,0.9698327148982525,0.9698105081826012,0.08459166945563305,128,6,0.001,32,fold_3,False,-1,-1,199.71821928024292,0.3085825443267822
fginjk,0.9559164733178654,0.9563947765010578,0.9559164733178654,0.955903179201675,0.9558785529715762,0.1240453698743662,128,6,0.001,16,fold_0,False,-1,-1,296.45783257484436,0.3070039749145508
fginjk,0.9721577726218097,0.9721577726218097,0.9721577726218097,0.9721577726218097,0.9721576227390181,0.10670406834909524,128,6,0.001,16,fold_1,False,-1,-1,206.83158540725708,0.34125399589538574
fginjk,0.9698375870069605,0.9699276898471341,0.9698375870069605,0.969835638373318,0.9698212747631352,0.12041815021993665,128,6,0.001,16,fold_2,False,-1,-1,236.5076186656952,0.323549747467041
fginjk,0.9791183294663574,0.9791284220089775,0.9791183294663574,0.9791181046385388,0.9791128337639965,0.08045209162888006,128,6,0.001,16,fold_3,False,-1,-1,243.6414737701416,0.3103961944580078
fginjk,0.9535962877030162,0.9537506335276319,0.9535962877030162,0.9535912909643874,0.9535745047372954,0.1713108950491191,128,6,0.001,8,fold_0,False,-1,-1,286.1621334552765,0.30886292457580566
fginjk,0.9721577726218097,0.9721978464656119,0.9721577726218097,0.9721568732863286,0.9721468561584841,0.12059816448428515,128,6,0.001,8,fold_1,False,-1,-1,247.94383764266968,0.3680605888366699
fginjk,0.9675174013921114,0.9676799163317918,0.9675174013921114,0.9675153029426556,0.9675387596899225,0.13744002679933356,128,6,0.001,8,fold_2,False,-1,-1,307.83825039863586,0.319915771484375
fginjk,0.9791183294663574,0.9791284220089775,0.9791183294663574,0.9791181046385388,0.9791128337639965,0.08221986780068437,128,6,0.001,8,fold_3,False,-1,-1,332.931081533432,0.30659031867980957
