model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
rgin,0.8525676421866372,0.8608514930183606,0.8525676421866372,0.8411277780632195,0.8532424486748056,0.3144605918229449,128,5,0.001,32,False,-1,-1,1776.5358171463013,0.9969687461853027
rgin,0.8547763666482606,0.8587312088497386,0.8547763666482606,0.8460194838423954,0.8561479533614149,0.31192282354022044,128,6,0.001,32,False,-1,-1,2115.6322162151337,1.1998529434204102
