model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,time
rgin,0.8525676421866372,0.856163411188391,0.8525676421866372,0.8431279242374942,0.8539863786723678,0.3810020358209647,64,4,0.001,64,False,-1,-1,784.2498345375061
rgin,0.8509110988404197,0.878059177961017,0.8509110988404197,0.82942279337394,0.8528644295613734,0.34841200628707186,128,7,0.001,64,False,-1,-1,2009.497578382492
