model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,time
rgin,0.84,0.845293654890163,0.84,0.8292321190085881,0.8433982001389674,0.38041828155517576,128,5,0.001,64,False,-1,-1,597.8800868988037
rgin,0.84,0.8444473470152413,0.84,0.8278847745791567,0.8445270714171703,0.3729764274756114,128,5,0.001,64,True,0.005,5,2630.297055244446
