model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
rgin,0.9804878048780488,0.9804878048780488,0.9804878048780488,0.9804878048780488,0.9804877532890562,0.06302395228883209,128,7,0.001,64,False,-1,-1,1774.97203707695,1.0493860244750977
rgin,0.9853658536585366,0.9854118252851171,0.9853658536585366,0.9853653893391892,0.985357883159186,0.038357726732331704,128,7,0.001,64,False,-1,-1,1880.8782320022583,4.145095348358154
