filename,time,date,Syscall found,Address found,Libraries,OS,CPU architecture,Entry point,Min/Max addresses,Stack executable,Binary position-independent,Number Address found,Number Syscall found,Binary position-independent:
00c635478393aafb5c2d97b4a00c6930,1168.4315419197085,2023-01-02 16:50:52,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'GetModuleHandleW': 1, 'GetProcAddress': 29, 'InitializeCriticalSectionAndSpinCount': 26, 'FlsAlloc': 1, 'HeapAlloc': 30, 'FlsSetValue': 1, 'EnterCriticalSection': 9, 'InterlockedIncrement': 3, 'LeaveCriticalSection': 11, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 7, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 4, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 2, 'HeapSize': 1}",,"{'mpr.dll', 'oleaut32.dll', 'version.dll', 'psapi.dll', 'uxtheme.dll', 'wininet.dll', 'shell32.dll', 'gdi32.dll', 'advapi32.dll', 'iphlpapi.dll', 'userenv.dll', 'comdlg32.dll', 'wsock32.dll', 'kernel32.dll', 'user32.dll', 'winmm.dll', 'ole32.dll', 'comctl32.dll'}",windows,X86,4349812,4194304/5383283,False,,0.0,26.0,True
00b555420ea9cbe6aec65e02f23d5316,1345.7750811576843,2023-01-02 16:53:49,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 48, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 30, 'FlsSetValue': 1, 'EnterCriticalSection': 9, 'LeaveCriticalSection': 12, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 5, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 2, 'HeapSize': 1}",,"{'mpr.dll', 'oleaut32.dll', 'version.dll', 'psapi.dll', 'uxtheme.dll', 'wininet.dll', 'shell32.dll', 'gdi32.dll', 'advapi32.dll', 'iphlpapi.dll', 'userenv.dll', 'comdlg32.dll', 'wsock32.dll', 'kernel32.dll', 'user32.dll', 'winmm.dll', 'ole32.dll', 'comctl32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,27.0,True
00a5631d47b793107aa88c7bbf2a834c,1520.1556153297424,2023-01-02 16:56:43,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 48, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 30, 'FlsSetValue': 1, 'EnterCriticalSection': 10, 'LeaveCriticalSection': 12, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 5, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 2, 'HeapSize': 1}",,"{'mpr.dll', 'oleaut32.dll', 'version.dll', 'psapi.dll', 'uxtheme.dll', 'wininet.dll', 'shell32.dll', 'gdi32.dll', 'advapi32.dll', 'iphlpapi.dll', 'userenv.dll', 'comdlg32.dll', 'wsock32.dll', 'kernel32.dll', 'user32.dll', 'winmm.dll', 'ole32.dll', 'comctl32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,27.0,True
00a488dcf01ac8bfb5c335c05e78d7fb,1695.2391166687012,2023-01-02 16:59:38,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 48, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 30, 'FlsSetValue': 1, 'EnterCriticalSection': 9, 'LeaveCriticalSection': 11, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 4, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 2, 'DecodePointer': 2, 'HeapSize': 1}",,"{'mpr.dll', 'oleaut32.dll', 'version.dll', 'psapi.dll', 'uxtheme.dll', 'wininet.dll', 'shell32.dll', 'gdi32.dll', 'advapi32.dll', 'iphlpapi.dll', 'userenv.dll', 'comdlg32.dll', 'wsock32.dll', 'kernel32.dll', 'user32.dll', 'winmm.dll', 'ole32.dll', 'comctl32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,27.0,True
00c980eb82edcd483fbff4b34b48f9e4,1873.8405661582947,2023-01-02 17:02:37,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 59, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 30, 'FlsSetValue': 1, 'EnterCriticalSection': 11, 'LeaveCriticalSection': 14, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 6, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 6, 'HeapSize': 3, 'HeapReAlloc': 3, 'InitializeCriticalSectionAndSpinCount': 1}",,"{'mpr.dll', 'oleaut32.dll', 'version.dll', 'psapi.dll', 'uxtheme.dll', 'wininet.dll', 'shell32.dll', 'gdi32.dll', 'advapi32.dll', 'iphlpapi.dll', 'userenv.dll', 'comdlg32.dll', 'wsock32.dll', 'kernel32.dll', 'user32.dll', 'winmm.dll', 'ole32.dll', 'comctl32.dll'}",windows,X86,4358154,4194304/5394739,False,,0.0,29.0,True
