filename,time,date,Syscall found,Address found,Libraries,OS,CPU architecture,Entry point,Min/Max addresses,Stack executable,Binary position-independent,Number Address found,Number Syscall found,Binary position-independent:
00c635478393aafb5c2d97b4a00c6930,170.24613499641418,2023-01-02 17:28:08,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'GetModuleHandleW': 1, 'GetProcAddress': 34, 'InitializeCriticalSectionAndSpinCount': 26, 'FlsAlloc': 1, 'HeapAlloc': 98, 'FlsSetValue': 1, 'EnterCriticalSection': 29, 'InterlockedIncrement': 3, 'LeaveCriticalSection': 37, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 7, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 11, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'HeapSize': 21, 'HeapReAlloc': 11, 'GetVersionExW': 5, 'LoadLibraryA': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5, 'FreeLibrary': 5}",,"{'mpr.dll', 'wininet.dll', 'advapi32.dll', 'ole32.dll', 'oleaut32.dll', 'winmm.dll', 'wsock32.dll', 'gdi32.dll', 'comctl32.dll', 'uxtheme.dll', 'kernel32.dll', 'version.dll', 'user32.dll', 'iphlpapi.dll', 'userenv.dll', 'psapi.dll', 'comdlg32.dll', 'shell32.dll'}",windows,X86,4349812,4194304/5383283,False,,0.0,33.0,True
00b555420ea9cbe6aec65e02f23d5316,331.6288323402405,2023-01-02 17:30:49,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 121, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 63, 'FlsSetValue': 1, 'EnterCriticalSection': 29, 'LeaveCriticalSection': 37, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 12, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 39, 'HeapSize': 19, 'HeapReAlloc': 14, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5}",,"{'mpr.dll', 'wininet.dll', 'advapi32.dll', 'ole32.dll', 'oleaut32.dll', 'winmm.dll', 'wsock32.dll', 'gdi32.dll', 'comctl32.dll', 'uxtheme.dll', 'kernel32.dll', 'version.dll', 'user32.dll', 'iphlpapi.dll', 'userenv.dll', 'psapi.dll', 'comdlg32.dll', 'shell32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,33.0,True
00a5631d47b793107aa88c7bbf2a834c,494.9314329624176,2023-01-02 17:33:32,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 121, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 63, 'FlsSetValue': 1, 'EnterCriticalSection': 29, 'LeaveCriticalSection': 37, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 12, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 39, 'HeapSize': 19, 'HeapReAlloc': 14, 'InitializeCriticalSectionAndSpinCount': 4, 'GetVersionExW': 5, 'GetCurrentProcess': 5, 'IsWow64Process': 5, 'GetSystemInfo': 5}",,"{'mpr.dll', 'wininet.dll', 'advapi32.dll', 'ole32.dll', 'oleaut32.dll', 'winmm.dll', 'wsock32.dll', 'gdi32.dll', 'comctl32.dll', 'uxtheme.dll', 'kernel32.dll', 'version.dll', 'user32.dll', 'iphlpapi.dll', 'userenv.dll', 'psapi.dll', 'comdlg32.dll', 'shell32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,33.0,True
00a488dcf01ac8bfb5c335c05e78d7fb,659.2355732917786,2023-01-02 17:36:17,"{'GetStartupInfoW': 2, 'GetProcessHeap': 1, 'EncodePointer': 49, 'GetModuleHandleW': 1, 'GetProcAddress': 33, 'InitializeCriticalSectionEx': 25, 'FlsAlloc': 1, 'HeapAlloc': 30, 'FlsSetValue': 1, 'EnterCriticalSection': 10, 'LeaveCriticalSection': 12, 'GetCurrentThreadId': 1, 'GetStdHandle': 10, 'GetFileType': 8, 'GetCommandLineW': 5, 'GetEnvironmentStringsW': 5, 'FreeEnvironmentStringsW': 3, 'GetModuleFileNameW': 3, 'HeapFree': 5, 'IsProcessorFeaturePresent': 7, 'GetLastError': 11, 'FlsGetValue': 11, 'SetLastError': 11, 'GetACP': 3, 'SetUnhandledExceptionFilter': 3, 'DecodePointer': 4, 'HeapSize': 2, 'HeapReAlloc': 1}",,"{'mpr.dll', 'wininet.dll', 'advapi32.dll', 'ole32.dll', 'oleaut32.dll', 'winmm.dll', 'wsock32.dll', 'gdi32.dll', 'comctl32.dll', 'uxtheme.dll', 'kernel32.dll', 'version.dll', 'user32.dll', 'iphlpapi.dll', 'userenv.dll', 'psapi.dll', 'comdlg32.dll', 'shell32.dll'}",windows,X86,4358154,4194304/7250227,False,,0.0,28.0,True
